POS_1_X,POS_1_Y,READING_1,LINE,MARK,TIME,DATE
-111.2881327,35.3386167,50034.5,503,3203,16:13:51,3/11/2017
-111.2881688,35.3385581,50055.2,503,3228,16:14:16,3/11/2017
-111.2882495,35.3385895,50089.5,503,3262,16:14:50,3/11/2017
-111.288241,35.3386224,50144.8,503,3305,16:15:33,3/11/2017
-111.2882152,35.3386548,50104.7,503,3336,16:16:04,3/11/2017
-111.2882257,35.3387463,49899.6,503,3388,16:16:56,3/11/2017
-111.2882383,35.3388242,49573.9,503,3431,16:17:39,3/11/2017
-111.2882704,35.3388961,49393.4,503,3471,16:18:19,3/11/2017
-111.2882837,35.3389549,49232.4,503,3497,16:18:45,3/11/2017
-111.2882837,35.3390161,49285,503,3531,16:19:19,3/11/2017
-111.2883621,35.3390121,49156.1,503,3566,16:19:54,3/11/2017
-111.2883353,35.3389538,49228.2,503,3636,16:21:04,3/11/2017
-111.2883066,35.3388933,49394.4,503,3667,16:21:35,3/11/2017
-111.2882832,35.3388396,49459.5,503,3693,16:22:01,3/11/2017
-111.2882887,35.3387763,49676.1,503,3723,16:22:31,3/11/2017
-111.2883032,35.3387031,50104.2,503,3759,16:23:07,3/11/2017
-111.287326,35.3387956,49819.6,503,3975,16:26:43,3/11/2017
